Time,Latitude,Longitude,Depth/Km,Magnitude
33:13.6,42.6888,13.3113,5.5,3.1
38:27.5,42.7858,13.1497,9.7,2.2
49:40.9,42.6115,13.3178,10.1,2.6
55:01.9,42.6073,13.2627,11.1,2.5
55:41.1,42.7845,13.1757,7.3,2.7
57:09.2,42.7723,13.1872,9.5,2.5
59:29.4,42.6603,13.2013,10.4,2.3
02:20.8,42.7997,13.2403,8.3,3.8
03:30.2,42.801,13.179,10,3.2
25:59.5,42.7998,13.1488,9.8,2.5
28:45.6,42.8093,13.1982,9.6,2.7
39:44.8,42.8048,13.2123,9.1,2.6
45:10.4,42.7288,13.1973,8.5,3.2
52:11.1,42.793,13.175,8.8,2.1
02:21.1,42.6313,13.3142,9.8,2.7
08:23.2,42.6887,13.2167,11,2.3
09:06.6,42.8067,13.1937,8.3,2.2
20:26.1,42.6477,13.2182,12,2.1
39:27.8,42.7973,13.2405,8.9,3.1
34:47.3,42.7352,13.2375,9.4,3.1
37:11.3,42.765,13.1537,9.1,2.5
39:53.0,42.7247,13.2032,8.6,2.7
54:29.7,42.6207,13.2848,7.1,2.6
57:21.9,42.665,13.3062,7.3,2.6
04:00.0,42.6152,13.32,5.9,2
16:42.6,42.6208,13.2512,11.4,2.5
27:01.5,42.8183,13.228,9.1,2.2
29:53.2,42.6055,13.2763,10.4,2.9
37:08.3,42.803,13.1897,6.1,2.7
38:00.4,42.8012,13.2493,7.5,3
46:09.5,42.6587,13.2147,10.3,4.2
49:56.8,42.7593,13.2487,7.8,2.5
50:54.6,42.7388,13.1952,9.9,2.4
54:34.5,42.6182,13.2412,11.2,2.7
55:23.2,42.8043,13.2458,8.7,2.9
56:16.5,42.7968,13.2312,9.3,2.9
06:44.6,42.816,13.1483,10.5,2.2
08:03.8,42.845,13.1123,8.4,2.7
12:20.5,42.6875,13.1873,9.5,2.1
18:52.2,42.7437,13.2648,9.6,2.1
36:06.9,42.6887,13.166,10.2,3.1
37:53.5,42.6517,13.2262,10.5,2.7
39:31.1,42.7035,13.1647,10.3,2.1
42:30.1,42.7757,13.1663,10,3.1
43:51.4,42.7712,13.1808,9.5,2.5
53:58.2,42.8002,13.2622,8.5,2.3
58:42.0,42.7898,13.1903,8.9,2.8
00:49.6,42.7407,13.2562,9.9,2
10:18.8,42.6502,13.2383,10.6,2.8
22:49.2,42.646,13.2422,12.2,2.5
26:02.6,42.8012,13.2107,8.8,2.8
30:00.9,42.605,13.2357,12.4,2
31:00.7,42.6257,13.309,9,2
32:06.4,42.8255,13.1512,9.9,2
38:00.1,42.7897,13.2163,7.8,2.7
44:00.4,42.7968,13.2402,6.3,2.3
56:20.6,42.749,13.1752,10.3,2.4
02:57.7,42.6858,13.2227,10,2.3
06:11.6,42.7273,13.2193,10,2.1
08:36.4,42.6512,13.3003,7.8,2.4
14:30.0,42.7757,13.1608,8.2,2.7
16:29.2,42.785,13.2188,10.3,2.7
17:40.0,42.6277,13.2982,7.9,2
19:47.3,42.8132,13.1895,8.2,2.1
21:36.1,42.7808,13.1477,8.7,3.3
23:45.0,42.7753,13.2518,7.6,2.5
56:22.9,42.6537,13.2163,11.3,2.2
05:51.8,42.7778,13.1855,9.3,2.8
12:27.5,42.7542,13.1867,9.9,2.4
13:21.5,42.6163,13.2908,9.9,2.2
15:38.1,42.7888,13.1532,11.4,2.3
27:48.3,42.7587,13.1047,8.4,2.9
29:45.7,42.6485,13.2955,5.6,2.4
35:25.3,42.7577,13.0885,10.7,2
39:06.2,42.6725,13.1917,9.6,2
39:30.3,42.6053,13.2318,18,2.2
45:44.8,42.8038,13.1722,10.1,3.1
55:10.9,42.6597,13.2137,10.7,2.3
00:36.5,42.8057,13.1877,9.3,2.1
02:02.5,42.6415,13.3043,11.1,2.1
02:02.6,42.6643,13.2998,0.7,2.2
10:52.3,42.8368,13.1493,8.6,2
15:47.0,42.6588,13.2812,10.7,2.1
20:24.3,42.7923,13.2028,9.6,2.5
22:05.5,42.7935,13.1687,10.2,2.1
23:12.1,42.7422,13.178,10.8,2.2
35:34.3,42.7807,13.1297,10.6,2
56:09.9,42.7027,13.2243,10.7,2.2
57:19.8,42.7288,13.2393,10.8,2.7
03:02.7,42.7405,13.2337,8.9,2.3
03:51.2,42.813,13.1973,9.2,2
04:57.8,42.7533,13.2353,7.5,2.1
06:16.8,42.7325,13.2442,10.4,2.4
07:57.2,42.8,13.2522,8.4,2
22:05.8,42.6535,13.2098,11.8,4
24:55.8,42.7505,13.2323,9.4,3.4
28:23.4,42.6017,13.231,15.9,2.5
30:04.5,42.6503,13.2212,10.4,2.5
32:10.5,42.6638,13.226,5.8,2.9
36:56.7,42.563,13.2658,13.5,2.2
59:36.9,42.8287,13.2512,7.9,2.7
05:52.7,42.8458,13.2387,8.9,2
07:25.3,42.6933,13.2727,10.6,2.1
09:50.8,42.7628,13.1497,10.7,2.1
11:21.0,42.4902,13.2318,10.4,2.3
12:34.7,42.6063,13.3035,11.1,2.9
16:15.0,42.7538,13.1092,7.6,2.5
17:03.0,42.6202,13.2968,7.8,2.6
19:15.4,42.7208,13.2077,10.4,2.1
19:37.6,42.8473,13.2627,9.7,2.4
32:38.7,42.6413,13.2127,10.1,2.7
34:35.5,42.5353,13.2313,9.4,2.1
35:24.1,42.661,13.2563,8.3,2.4
37:20.5,42.6187,13.2667,10.6,2.1
42:45.4,42.7668,13.191,11.2,2.4
44:39.1,42.8077,13.2048,9.3,2
48:28.3,42.9918,13.2743,29,2.3
50:13.8,42.7545,13.1942,9.6,2
55:57.5,42.5995,13.2158,15.9,2
57:52.4,42.7505,13.1995,9.6,2.5
58:44.7,42.8068,13.1557,9.1,2.2
05:30.7,42.6298,13.2463,15.2,2
14:05.9,42.7407,13.1847,9.9,2
21:25.2,42.8063,13.1493,8.8,2.7
21:25.1,42.8085,13.1547,9.6,2.7
23:10.0,42.7962,13.1515,8.6,2.2
23:10.3,42.8053,13.1393,9.4,2
28:46.9,42.7577,13.1872,9.7,2.3
29:40.1,42.7533,13.1917,9.3,2.1
35:48.7,42.7512,13.2057,9.9,2.1
41:29.5,42.6517,13.2992,7.1,2
42:24.8,42.7078,13.2368,9.3,2
51:57.7,42.962,13.1595,9.3,2.7
52:15.5,42.8392,13.2097,8.5,2.7
03:25.9,42.8068,13.195,9.9,2
03:55.5,42.7292,13.2053,9.1,2
07:13.1,42.82,13.2247,9.7,2.1
08:01.6,42.6412,13.3382,4,2
09:53.2,42.6113,13.3078,10,2.1
29:13.3,42.7632,13.116,8.3,2.7
36:28.3,42.6422,13.3068,9.6,2.5
57:41.4,42.8007,13.1428,10.6,2.1
10:57.5,42.8312,13.1538,9.7,2.6
15:04.4,42.8112,13.154,9.3,2.4
17:16.7,42.7452,13.1927,9,4.3
21:19.2,42.7545,13.1998,9.9,2.3
22:03.8,42.7628,13.2047,9.8,2.2
26:53.4,42.8415,13.255,8.6,2.1
28:29.5,42.7372,13.2188,10.2,2.2
30:32.0,42.8625,13.0177,10.6,2.6
31:11.7,42.7913,13.1517,9.4,2.2
34:20.4,42.7563,13.1747,10.5,2
34:53.1,42.7677,13.1682,10.4,2.2
37:08.1,42.7918,13.2328,9.2,2.3
38:03.2,42.7648,13.1838,10.2,2.3
40:07.7,42.7568,13.1955,9.5,2.1
48:30.7,42.7105,13.2268,9,2.1
49:17.5,42.7357,13.1973,10.1,2.1
50:17.7,42.753,13.1983,8.9,2.1
51:33.3,42.8257,13.2453,9.3,2
55:39.4,42.7525,13.1817,10.2,2.1
01:54.1,42.7608,13.2025,9.8,2
03:01.8,42.7332,13.1993,9.7,2.3
03:29.9,42.5778,13.2388,10.6,2.2
12:11.8,42.6913,13.2343,10.2,3.3
